source_id,name,jurisdiction_level,state,publisher,source_kinds,lead_signals,url,portal_family,access_mode,credential_env,official_status,access_status,integration_status,discovered_on,last_access_checked_on,discovery_method,evidence_url,coverage_rule,coverage_scope,notes
federal.ed.awards,US Education grant award resources,federal,,US Department of Education,grant_award,gold,https://www.ed.gov/grants-and-programs/grants-performance,custom_web,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,web_research,https://www.ed.gov/grants-and-programs/grants-performance,required,Education grant awards and performance,Recipient detail varies by program
federal.federal_register.api,Federal Register API,federal,,Office of the Federal Register,grant_opportunity|rule_notice,watch,https://www.federalregister.gov/developers/documentation/api/v1,custom_api,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,web_research,https://www.federalregister.gov/developers/documentation/api/v1,required,Grant notices and program rules,Useful early signal but not recipient awards
federal.ojp.awards,OJP award data,federal,,US Department of Justice Office of Justice Programs,grant_award,gold,https://www.ojp.gov/funding/awards,custom_web,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,web_research,https://www.ojp.gov/funding/awards,required,DOJ OJP award recipients,Search and export behavior need testing
federal.openfema.api,OpenFEMA data sets and API,federal,,Federal Emergency Management Agency,grant_award,gold,https://www.fema.gov/about/openfema/api,custom_api,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,web_research,https://www.fema.gov/about/openfema/api,unknown,FEMA assistance and preparedness data,Relevant data sets and security fit need testing
federal.schoolsafety.grant_finder,SchoolSafety.gov Grants Finder Tool,federal,,US Department of Homeland Security,grant_opportunity,watch,https://www.schoolsafety.gov/grants-finder-tool,custom_web,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.schoolsafety.gov/grants-finder-tool,unknown,Federal school-safety funding discovery,Search and automation behavior need testing
dc.state.safe_secure_awards,Safe and Secure DC grant awards,state,DC,Office of the Mayor of the District of Columbia,grant_award,gold,https://mayor.dc.gov/release/mayor-bowser-announces-recipients-new-safe-and-secure-dc-grants-0,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://mayor.dc.gov/release/mayor-bowser-announces-recipients-new-safe-and-secure-dc-grants-0,optional,DC nonprofit physical-security recipients,Historic award page and recurring watcher need testing
ga.state.public_safety_awards,Georgia community public-safety grant awards,state,GA,Office of the Governor of Georgia,grant_award,gold,https://gov.georgia.gov/press-releases/2023-06-08/gov-kemp-announces-835m-community-public-safety-grant-awards,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://gov.georgia.gov/press-releases/2023-06-08/gov-kemp-announces-835m-community-public-safety-grant-awards,optional,Georgia city and county public-safety award recipients,Historic award page and recurring watcher need testing
la.state.safe_schools_awards,Louisiana GOHSEP safe-schools grant awards,state,LA,Louisiana GOHSEP,grant_award,gold,https://gohsep.la.gov/about/news/gohsep-empowers-safe-schools-through-grant-awards/,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://gohsep.la.gov/about/news/gohsep-empowers-safe-schools-through-grant-awards/,optional,Louisiana school-safety grant recipients,Historic award page and recurring watcher need testing
mi.state.school_safety_awards,Michigan school-safety grant awards,state,MI,Office of the Governor of Michigan,grant_award,gold,https://www.michigan.gov/whitmer/news/press-releases/2022/05/03/whitmer-announces-schools-to-receive-funds-for-school-safety-grants,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.michigan.gov/whitmer/news/press-releases/2022/05/03/whitmer-announces-schools-to-receive-funds-for-school-safety-grants,optional,Michigan school-safety recipients,Historic award page and newer CSSGP lists still needed
ne.state.school_security_awards,Nebraska school safety and security grant awards,state,NE,Nebraska Department of Education,grant_award,gold,https://www.education.ne.gov/press_release/nebraska-schools-awarded-10-million-in-safety-and-security-grants/,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.education.ne.gov/press_release/nebraska-schools-awarded-10-million-in-safety-and-security-grants/,optional,Nebraska school-safety recipients,Historic award page and recurring program source need testing
vt.state.school_safety_awards,Vermont school-safety grant awards,state,VT,Office of the Governor of Vermont,grant_award,gold,https://governor.vermont.gov/press-release/governor-phil-scott-announces-second-round-school-safety-grants,press_release,public_no_auth,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://governor.vermont.gov/press-release/governor-phil-scott-announces-second-round-school-safety-grants,optional,Vermont school-safety recipients,Historic award page and current program source need testing
