source_id,name,jurisdiction_level,state,publisher,source_kinds,lead_signals,url,portal_family,access_mode,credential_env,official_status,access_status,integration_status,discovered_on,last_access_checked_on,discovery_method,evidence_url,coverage_rule,coverage_scope,notes
ak.anchorage.bids,Anchorage municipal bidding opportunities,city,AK,Municipality of Anchorage,rfp|contract_award,silver,https://www.muni.org/Departments/purchasing/pages/bidding.aspx,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.muni.org/Departments/purchasing/pages/bidding.aspx,unknown,Anchorage municipality,Firecrawl candidate not access tested
ak.fairbanks_schools.vendors,Fairbanks North Star Borough School District vendor resources,school_district,AK,Fairbanks North Star Borough School District,rfp|contract_award,silver,https://www.k12northstar.org/departments/administrative-services/purchasing-information-resources/vendor-resources,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.k12northstar.org/departments/administrative-services/purchasing-information-resources/vendor-resources,unknown,Fairbanks North Star Borough schools,Firecrawl candidate not access tested
ak.juneau_borough.bids,City and Borough of Juneau bids and RFPs,county,AK,City and Borough of Juneau,rfp|contract_award,silver,https://juneau.org/finance/purchasing/bids-rfps,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://juneau.org/finance/purchasing/bids-rfps,unknown,Juneau county-equivalent,Firecrawl candidate not access tested
ak.state.grant_opportunities,Alaska Federal Funding grant opportunities,state,AK,Alaska Federal Funding,grant_opportunity,watch,https://akfederalfunding.org/grant-opportunities/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://akfederalfunding.org/grant-opportunities/,unknown,Alaska grant opportunities,Publisher authority and completeness need testing
ak.state.procurement,Alaska state procurement,state,AK,State of Alaska,rfp|contract_award,silver,https://doa.alaska.gov/dgs/purchasing/,custom_web,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.naspo.org/research-and-innovation/rosp-category/procurement-website/,unknown,Alaska state agencies,Portal and anonymous search need verification
al.jefferson_schools.bids,Jefferson County Schools bids and contracts,school_district,AL,Jefferson County Schools,rfp|contract_award,silver,https://www.jefcoed.com/page/bids-contracts,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.jefcoed.com/page/bids-contracts,unknown,Jefferson County Schools,Firecrawl candidate not access tested
al.mobile_county.bids,Mobile County bids,county,AL,Mobile County,rfp|contract_award,silver,https://www.mobilecountyal.gov/bids/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.mobilecountyal.gov/bids/,unknown,Mobile County,Firecrawl candidate not access tested
al.state.adeca_funding,ADECA funding opportunities,state,AL,Alabama Department of Economic and Community Affairs,grant_opportunity|grant_award,gold|watch,https://adeca.alabama.gov/about/funding-opportunities/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://adeca.alabama.gov/about/funding-opportunities/,unknown,Alabama ADECA programs including public safety,Opportunity and award automation need testing
al.state.procurement,Alabama procurement and RFP search,state,AL,State of Alabama,rfp|contract_award,silver,https://rfp.alabama.gov/PublicView.aspx,custom_web,unknown,,verified,needs-testing,discovered,2026-07-15,,firecrawl_search,https://rfp.alabama.gov/PublicView.aspx,unknown,Alabama public entities,Firecrawl discovery only
ar.fort_smith_schools.rfps,Fort Smith Public Schools requests for proposals,school_district,AR,Fort Smith Public Schools,rfp,silver,https://www.fortsmithschools.org/departments/finance/purchasing/request-for-proposals,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.fortsmithschools.org/departments/finance/purchasing/request-for-proposals,unknown,Fort Smith Public Schools,Firecrawl candidate not access tested
ar.pulaski_county.bids,Pulaski County bid opportunities,county,AR,Pulaski County,rfp|contract_award,silver,https://www.demandstar.com/app/agencies/arkansas/pulaski-county/procurement-opportunities/a1426332-7950-42c0-8d9a-ac2484613396/,demandstar,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://www.demandstar.com/app/agencies/arkansas/pulaski-county/procurement-opportunities/a1426332-7950-42c0-8d9a-ac2484613396/,unknown,Pulaski County,Official publisher linkage and access need testing
ar.state.procurement,Arkansas Office of State Procurement,state,AR,State of Arkansas,rfp|contract_award,silver,https://www.transform.ar.gov/procurement/,custom_web,unknown,,assumed,needs-testing,discovered,2026-07-15,,naspo_directory,https://www.naspo.org/research-and-innovation/rosp-category/procurement-website/,unknown,Arkansas state agencies,Portal and anonymous search need verification
ar.state.public_safety_equipment,Arkansas Public Safety Equipment Grant Program,state,AR,Arkansas Department of Public Safety,grant_opportunity|grant_award,gold|watch,https://dps.arkansas.gov/who-is-dps/dps-research-and-planning/public-safety-equipment-grant-program/,custom_web,unknown,,needs-testing,needs-testing,discovered,2026-07-15,,firecrawl_search,https://dps.arkansas.gov/who-is-dps/dps-research-and-planning/public-safety-equipment-grant-program/,optional,Arkansas public-safety equipment grants,Recipient lists and recurring cycle need testing
