source_id,name,jurisdiction_level,state,publisher,source_kinds,lead_signals,url,portal_family,access_mode,credential_env,official_status,access_status,integration_status,discovered_on,last_access_checked_on,discovery_method,evidence_url,coverage_rule,coverage_scope,notes
platform.beacon_bid,Beacon Bid public procurement network,portal_family,,Beacon Bid,rfp|contract_award,silver,https://www.beaconbid.com/,beacon_bid,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.beaconbid.com/,optional,Member public agencies and school districts,Official platform page scraped live and describes free agency and supplier access
platform.bid_locker,Bid Locker nationwide contract and RFP platform,portal_family,,Bid Locker,rfp|contract_award,silver,https://bidlocker.us/,bid_locker,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://bidlocker.us/,optional,Member public agencies universities and school districts,Official platform page scraped live and states vendor profiles have no cost
platform.bidnet_direct,BidNet Direct regional purchasing groups,portal_family,,mdf commerce,rfp|contract_award,silver,https://www.bidnetdirect.com/,bidnet_direct,free_account,,needs-testing,needs-testing,discovered,2026-07-15,,web_research,https://www.bidnetdirect.com/,optional,State and regional public purchasing groups,Free limited access and paid regional features need direct characterization
platform.bonfire,Bonfire vendor opportunities,portal_family,,Euna Solutions,rfp|contract_award,silver,https://vendor.gobonfire.com/,bonfire,free_account,,verified,assumed,discovered,2026-07-15,,web_research,https://vendor.gobonfire.com/,optional,Member public agencies and school districts,Free agency registration is supported by publisher guidance but needs direct account test
platform.demandstar,DemandStar government bid network,portal_family,,Euna Solutions,rfp|contract_award,silver,https://www.demandstar.com/app/browse-bids,demandstar,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,official_web,https://qapt.demandstar.com/app/registration,optional,Member cities counties and school districts,Free plan covers one selected agency while broader coverage is paid
platform.ionwave,IonWave supplier portals,portal_family,,Ion Wave Technologies,rfp|contract_award,silver,https://ionwave.net/suppliers/supplier-login/,ionwave,free_account,,verified,needs-testing,discovered,2026-07-15,,official_web,https://ionwave.net/suppliers/supplier-login/,optional,Member public agencies and school districts,Registration and cross-agency discovery scope need testing
platform.opengov,OpenGov Procurement vendor network,portal_family,,OpenGov,rfp|contract_award,silver,https://procurement.opengov.com/portal/,opengov,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,official_web,https://opengov.com/products/procurement/suppliers/,optional,Member cities counties and school districts,Official site says unlimited vendor access and alerts are free
platform.planetbids,PlanetBids agency portals,portal_family,,PlanetBids,rfp|contract_award,silver,https://home.planetbids.com/vendor-basic,planetbids,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,official_web,https://vendor.planetbids.com/pricing,optional,Member public agencies and school districts,Agency-level search and bidding are free while nationwide aggregation is paid
platform.public_purchase,Public Purchase bid board,portal_family,,The Public Group,rfp|contract_award,silver,https://www.publicpurchase.com/,public_purchase,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,official_web,https://www.publicpurchase.com/gems/help/public/info_vendor_registration.html,optional,Member government and education agencies,Official registration page says vendor access is free
platform.vendor_registry,Vendor Registry bid network,portal_family,,Vendor Registry,rfp|contract_award,silver,https://vendorregistry.com/vendor-bid-management/,vendor_registry,free_account,,verified,assumed,discovered,2026-07-15,,official_web,https://vendorregistry.com/vendor-bid-management/,optional,Member cities counties and school districts,Official site describes free and paid options but exact free search scope needs testing
id.ada_county.procurement,Ada County procurement solicitations,county,ID,Ada County,rfp|contract_award,silver,https://adacounty.id.gov/procurement/suppliers/,bonfire,free_account,,verified,assumed,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://adacounty.id.gov/procurement/suppliers/,required,Ada County departments and offices,Official page scraped live and says all solicitations use Bonfire; account cost was not directly tested
mi.oakland_county.solicitations,Oakland County open bid solicitations,county,MI,Oakland County,rfp|contract_award,silver,https://www.oakgov.com/government/purchasing/bidder-registration/bid-solicitation-public-search,bidnet_direct,supplier_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.oakgov.com/government/purchasing/bidder-registration/bid-solicitation-public-search,required,Oakland County,Official page scraped live and requires MITN vendor registration for formal bid documents
mi.troy_schools.purchasing,Troy School District purchasing and bids,school_district,MI,Troy School District,rfp|contract_award,silver,https://www.troy.k12.mi.us/departments/business-services/purchasingbids,beacon_bid,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.troy.k12.mi.us/departments/business-services/purchasingbids,required,Troy School District,Official page scraped live and states Beacon is free for bidders
ny.state.contract_reporter,New York State Contract Reporter,state,NY,State of New York,rfp|contract_award,silver,https://www.nyscr.ny.gov/,custom_portal,free_account,,assumed,needs-testing,discovered,2026-07-15,,web_research,https://ogs.ny.gov/procurement,required,New York state agencies and authorities,Free registration is assumed and must be rechecked
pa.allegheny_county.solicitations,Allegheny County purchasing bids and proposals,county,PA,Allegheny County,rfp|contract_award,silver,https://www.alleghenycounty.us/Projects-and-Initiatives/Doing-Business-with-Allegheny-County-Bids-and-Solicitations/Purchasing-Bids-and-Proposals,bonfire,supplier_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.alleghenycounty.us/Projects-and-Initiatives/Doing-Business-with-Allegheny-County-Bids-and-Solicitations/Purchasing-Bids-and-Proposals,required,Allegheny County,Official page scraped live and requires supplier registration to access Bonfire solicitations
pa.philadelphia_schools.bids,School District of Philadelphia open bids,school_district,PA,School District of Philadelphia,rfp,silver,"https://www.publicpurchase.com/gems/phila.k12,pa/buyer/public/home",public_purchase,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.philasd.org/finance/,required,School District of Philadelphia,Public Purchase page identifies the district and states vendor registration is free; login is required to view open bids
tx.houston_isd.purchasing,Houston ISD purchasing services,school_district,TX,Houston Independent School District,rfp|contract_award,silver,https://www.houstonisd.org/community-partnerships/purchasing-services,custom_web,supplier_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.houstonisd.org/community-partnerships/purchasing-services,required,Houston Independent School District,Official page scraped live and requires vendor registration for electronic solicitations
wa.king_county.procurement,King County procurement and payables,county,WA,King County,rfp|contract_award,silver,https://kingcounty.gov/en/dept/executive-services/about-king-county/business-operations/finance-business-operations/procurement-payables,custom_portal,supplier_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://kingcounty.gov/en/dept/executive-services/about-king-county/business-operations/finance-business-operations/procurement-payables,required,King County,Official page scraped live and requires E-Procurement Supplier Portal registration to compete
wa.seattle_schools.solicitations,Seattle Public Schools current solicitations,school_district,WA,Seattle Public Schools,rfp|contract_award,silver,https://www.seattleschools.org/departments/procurement/current-solicitations/,bid_locker,free_account,,verified,verified,access_checked,2026-07-15,2026-07-15,firecrawl_search,https://www.seattleschools.org/departments/procurement/current-solicitations/,required,Seattle Public Schools,Official page scraped live and identifies Bid Locker as the primary posting platform
